morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
niut;1;sv;vn;t;;;;;niut;n;n;;niut;nas;nas;;niut;nas;nas;;niut;nas;nas;;something to be used in doing ...;quelque chose à utiliser en faisant ...;;;;H1;;;m
nnajuk;2;sv;vv;m;n;;;;nnajuk;n;n;;nnajuk;s;s;;nnajuk;s;s;;nnajuk;s;s;;expresses deprecation or derogation, mild surprise that a person would act or have the nerve to act in a particular manner;;;;;;;;
nnajuk;1;sn;nn;t;;;;;nnajuk;n;n;;nnajuk;s;s;;nnajuk;s;s;;nnajuk;s;s;;deprecation or derogation;;;;;;;;
nngai;1;q;q;;;;;;nngai;n;n;;nngai;s;s;;nngai;s;s;;nngai;s;s;;coaxing, inoffensive questioning;;;;;;;;
nngaq;1;sn;nv;m;t;;;;0;;0;;nngaq;nas;nas;;0;0;0;;0;0;0;;movement from: 'to come from';mouvement originant de: 'venir de';case:abl;;;A1;;;m
nngiq;1;sn;nn;t;;;;;nngiq;n;n;;nngiq;s;s;;nngiq;s;s;;nngiq;s;s;;promiscuous;très libre;;;;;;;
nngit;1;sv;vv;m;n;;;;nngit;n;n;;nngit;s;s;;nngit;s;s;;nngit;s;s;;general negation;;;;;;;;
nnguaq;1;sn;nn;t;;;;;nnguaq;n;n;;nnguaq;s;s;;nnguaq;s;s;;nnguaq;s;s;;resemblance, likeness: 'which looks like';ressemblance: 'qui ressemble à';;;;H1;;;m
nnguaq;2;sv;vv;m;n;;;;nnguaq;n;n;;nnguaq;s;s;;nnguaq;s;s;;nnguaq;s;s;;to simulate;;;;;;;;
nnguk;1;sv;vv;m;n;;;;nnguk nnguq;n n;n;;nnguk nnguq;s s;s;;nnguk nnguq;s s;s;;nnguk nnguq;s s;s;;to be tired of, bored with;être fatigué de, lassé de;;;;H1;;;m
nngusuk;1;sv;vv;m;n;;;;nngusuk;n;n;;nngusuk;s;s;;nngusuk;s;s;;nngusuk;s;s;;to be inclined to, to feel like doing ...;être enclin à, se sentir porté à faire quelque chose;;;;H1;;;m
nnik;1;sv;vv;m;i;;;;nnik;n;n;;nnik;s;s;;nnik;s;s;;nnik;s;s;;added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses;ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs;antipassive:nnik/1vv;t;;;;;m
paaluk;1;sv;vn;t;;;;;0;;0;;0;0;0;;0;0;0;;paaluk;n;n;;exaggeration, aggrandizement of the action: 'very much', 'a lot';exagération de l'action: 'beaucoup';id:juq/1vn;;;H1;;Cumberland;m
paaq;1;sv;vv;f;;;;;paaq;n;n;;paaq;n;n;;paaq;n;n;;paaq;n;n;;exclamation: 'Oh, how ...!';exclamation: 'Oh, que ...!';;;;H1;;;m
paaq;1;sn;nn;t;;;;;paaq;n;n;;paaq;n;n;;paaq;n;n;;paaq;n;n;;1) the most of all;;;;;;;;
paluk;2;sv;vv;m;n;;;;paluk;n;n;;paluk;n;n;;paluk;n;n;;paluk;n;n;;a little, to a certain degree;un peu;;;;;;;
paluk;1;sv;vn;t;;;;;paluk;n;n;;paluk;nas;nas;;paluk;n;n;;paluk;n;n;;a little, to a certain degree;un peu;;;;;;;
pasaaq;1;sv;vv;m;n;;;;pasaaq;n;n;;pasaaq;n;n;;pasaaq;n;n;;pasaaq;n;n;;unexpected surprise: 'unexpectedly', 'surprisingly';surprise inattendue;;;;H1;;;m
patsiuk;1;sn;nn;t;;;;;patsiuk;n;n;;patsiuk;n;n;;patsiuk;n;n;;patsiuk;n;n;;strong derogation;désapprobation forte;;;;H1;;Cumberland;m
pillaq;1;sv;vv;m;n;;;;pillaq pillak;n n;n;;pillaq pillak;s s;s;;pillaq pillak;s s;s;;pillaq pillak;s s;s;;briefly;;;;;;;;
qai;1;q;q;;;;;;qai;n;n;;qai;s;s;;qai;s;s;;qai;s;s;;perhaps, maybe;peut-être;;;;H1;;;m
qajaa;1;sn;nn;f;;;;;qajaa;n;n;;qajaa;s;s;;qajaa;s;s;;qajaa;s;s;;negation;;;;;;;;
qajaanngit;1;sn;nv;m;i;;;;qajaanngit qajaangit;n n;n;;qajaanngit qajaangit;s s;s;;qajaanngit qajaangit;s s;s;;qajaanngit qajaangit;s s;s;;to have no ...;ne pas avoir de ...;;;;H1;;;m
qalauq;1;sv;vv;m;n;;;;qalauq;n;n;;qalauq;s;s;;qalauq;s;s;;qalauq;s;s;;brief action: 'for a few minutes', 'for a little while';action brève: 'quelques minutes';;;mode:imp;H1;;;m
qallaq;1;sn;nn;t;;;;;qallaq;n;n;;qallaq;s;s;;qallaq;s;s;;qallaq;s;s;;squatness: 'short, fat';courtaud;;;;H1;;Cumberland;m
qaminngit;1;sv;vv;m;n;;;;qaminngit;n;n;;qaminngit;s;s;;qaminngit;s;s;;qaminngit;s;s;;has not just done the action, but did it some time ago;ne vient pas de faire qqchose, mais l'a fait il y a quelque temps;;;;A1;;;m
