morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
vittikkit,tv,int,sp,2,d,3,p,,n,,pittikkit,n,,pittikkit,n,,pittikkit qittikkit,n son,,,?
vittigit,tv,int,sp,3,d,3,p,vakkit,n,,pittigit pakkit,n,,pittigit pakkit,n,,pittigit pakkit qittigit qakkit,n n son son,,,?
visinga,tv,int,sp,2,p,1,s,,n,,pisinga,n,,pisinga,n,,pisinga qisinga,n son,,,?
vaanga,tv,int,sp,3,p,1,s,,n,,paanga,n,,paanga,n,,paanga qaanga,n son,,,?
vitigit,tv,int,sp,1,p,2,s,,n,,pitigit,n,,pitigit,n,,pitigit qitigit,n son,,,?
vaatit,tv,int,sp,3,p,2,s,,n,,paatit,n,,paatit,n,,paatit qaatit,n son,,,?
vitigu,tv,int,sp,1,p,3,s,,n,,pitigu,n,,pitigu,n,,pitigu qitigu,n son,,,?
visiuk,tv,int,sp,2,p,3,s,,n,,pisiuk,n,,pisiuk,n,,pisiuk qisiuk,n son,,,?
vajjuk,tv,int,sp,3,p,3,s,,n,,pajjuk,n,,pajjuk,n,,pajjuk qajjuk,n son,,,?
vittiguk,tv,int,sp,2,p,1,d,,n,,pittiguk,n,,pittiguk,n,,pittiguk qittiguk,n son,,,?
vittiguk,tv,int,sp,3,p,1,d,vaatiguk,n,,pittiguk paatiguk,n,,pittiguk paatiguk,n,,pittiguk paatiguk qittiguk qaatiguk,n n son son,,,?
vassik,tv,int,sp,1,p,2,d,,n,,passik,n,,passik,n,,passik qassik,n son,,,?
vaatik,tv,int,sp,3,p,2,d,,n,,paatik,n,,paatik,n,,paatik qaatik,n son,,,?
vitigik,tv,int,sp,1,p,3,d,,n,,pitigik,n,,pitigik,n,,pitigik qitigik,n son,,,?
visigik,tv,int,sp,2,p,3,d,,n,,pisigik,n,,pisigik,n,,pisigik qisigik,n son,,,?
vagik,tv,int,sp,3,p,3,d,,n,,pagik,n,,pagik,n,,pagik qagik,n son,,,?
vitigut,tv,int,sp,2,p,1,p,,n,,pitigut,n,,pitigut,n,,pitigut qitigut,n son,,,?
vaatigut,tv,int,sp,3,p,1,p,,n,,paatigut,n,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,int,sp,1,p,2,p,,n,,passi,n,,passi,n,,passi qassi,n son,,,?
vaasi,tv,int,sp,3,p,2,p,,n,,paasi,n,,paasi,n,,paasi qaasi,n son,,,?
vitigit,tv,int,sp,1,p,3,p,,n,,pitigit,n,,pitigit,n,,pitigit qitigit,n son,,,?
visigit,tv,int,sp,2,p,3,p,,n,,pisigit,n,,pisigit,n,,pisigit qisigit,n son,,,?
vagit,tv,int,sp,3,p,3,p,,n,,pagit,n,,pagit,n,,pagit qagit,n son,,,?
nnga,tv,imp,sp,2,s,1,s,,n,,,s,,,s,,,s,,,?
