morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
agli,,1,v,i,,,,,,,,to grow or get bigger,"grandir, devenir plus grand, plus gros",,,,.
agliruk,,1,n,,,,,,,,,jaw,mâchoire,,,,.
aglu,,1,n,,,,,,,,,seal's breathing hole,trou dans la glace par où les phoques viennent respirer,,,,.
agvaiq,,1,v,t,,,,,,,si/1vv,[-R]to /take s.t. out of the way,,,,,
agviaq,,1,v,i,a,,,,,,,to be in the way,être dans le chemin (tel un obstacle),,,,.
agvik,,1,n,,,,,,,,,platform for scraping wet skins,plateforme pour râcler les peaux humides,,,,.
ai,,1,v,i,,,,,,,,to go,,,,,
ai,,1,n,,,,,,,,,man's sister-in-law,,,,,
ai,,1,e,,,,,,,,,exclamation: 'Look!' ,,,,,
aijuraq,,1,v,i,,,,,,,,"to develop long cracks, speaking of the sea ice",développer de longues fissures ou crevasse (la glace de mer),,,,.
aijuraq,,1,n,,,,,,,,,long-distance sea-ice crack,crevasse dans la glace de mer sur une longue distance,,,,.
aik&iq,,1,v,i,,,,,,nil,,to fetch s.t.,aller chercher qqch.,,,,.
ailaq,,1,v,i,a,,,,,,,"to be damp with moisture, wet with dew, etc.","être mouillé par l'humidité, la rosée, etc.",,,,.
ailaq,,1,n,,,,,,,,,moisture,,,,,
aillii,,1,v,i,,,,,,,,to have one's feet perspire,avoir les pieds qui transpirent,,,,.
aimangnaq,,1,n,,zoo,,,,,,,caribou without horns or calf,"caribou sans cornes, veau",,,,.
aipa,,1,v,i,a,,,,,,,to be raw or uncooked,"être cru, non cuit",,,,.
aipa,,1,n,,,,,,,,,another one,,,,,
aipaq,,1,n,,,,,,,,,wife-swapping partner,partenaire qui change de femme dans un échange [Natt.],,,,.
aippaq,,1,n,,,,,,,,,"second, companion, spouse","deuxième, compagnion, époux",,,,.
aiq,,1,v,i,,,,,,,,"to have sleeves, speaking of a garment",avoir des manches (un vêtement),,,,.
aiq,,1,n,,,,,,,,,sleeve,manche,,,,.
aiqqujaq,,1,n,,zoo,,,,,,,small red squirmer,petit ver rouge,,,,.
airaq,,1,n,,,,,,,,,small plant with white edible roots,petite plante avec des racines blanches comestibles,,,,.
aittaaq,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to regret politely about s.t.,regretter poliment par rapport à qqch.,,,,.
aittaq,,1,v,i,,,,,,,,to open one's mouth,ouvrir la bouche,,,,.
aiva,,1,v,i,,,,,,,,"to argue, to have an altercation with one another","discuter, avoir une altercation avec qqn",,,,.
aiviq,,1,n,,zoo,,,,,,,walrus,morse,,,,.
ajagaq,,1,v,i,,,,,,,,to play traditional game of 'cup-and-ball',jouer au jeu traditionnel 'cup-and-ball',,,,.
ajagaq,,1,n,,,,,,,,,bone with holes used as target in 'cup-and-ball' game,os avec des trous utilisé comme cible au jeu de 'cup-and-ball',,,,.
ajait,,1,e,,,,,,,,,exclamation : 'Almost!',,,,,
ajak,,1,v,i,,,,,,nil,,"to push, to shove (trans.: s.t.)","pousser, pelleter (trans.: qqch.)",,,,.
ajak,aja,1,n,,,,,,,,,maternal aunt,tante maternelle,,,,.
ajaniq,,1,n,,,,,,,,,space between the two sled runners,espace entre les deux patins d'un traîneau,,,,.
ajaraaq,,1,v,i,,,,,,,,to make string figures,faire des figures avec des cordes,,,,.
ajaraaq,,1,n,,,,,,,,,string used in forming string figures,ficelle utilisée pour former des figures,,,,.
ajjaa,,1,e,,,,,,,,,exclamation of pleasure: 'Grand!',,,,,
ajji,,1,n,,,,,,,,,(1) likeness (2) synonym,(1) ressemblance (2) synonyme,,,,.
ajuaq,,1,v,i,,,,,,,,to abscess,"avoir un abcès, un furoncle",,,,.
ajuaq,,1,n,,,,,,,,,abcess,,,,,
ajuq,,1,v,i,,,,,,nil,,"(1) to be unable to or incapable of doing s.t. (2) to not work, to be out of order",(1) ne pas être capable de faire qqchose,,,,
ajuqiq,ajugiq,1,v,t,,,,,,,i/1vv,[-R]to /teach or /instruct s.o. one thing one time,"[-R]/instruire qqn, /enseigner-à qqn une chose une fois",,,,.
ak&a,,2,n,,,,,,,,,Cree Indian,indian Cri,,,,.
ak&a,,1,n,,zoo,,,,,,,brown bear,ours brun,,,,.
ak&u,,1,v,i,a,,,,,,,to be poor,être pauvre,,,,.
ak&unaaq,,1,n,,,,,,,,,sealskin line,,,,,
akau,,1,v,i,a,,,,,,,to be good,être bon,,,,.
aki,,1,v,i,,,,,,nil,,to answer back,,,,,
aki,,1,n,,,,,,,,,(1) exchange value,,,,,
akinnaq,,1,n,,,,,,,,,the south-west,,,,,
akiruq,,1,n,,,,,,,,,wood knot,noeud dans le bois,,,,.
akisiq,,1,n,,,,,,,,,pillow,oreiller,,,,.
akkak,,1,n,,,,,,,,,paternal uncle,oncle paternel,,,,.
akpa,,1,n,,zoo,,,,,,,murre,guillemot,,,,.
akpaq,,1,v,t,,,,,,,i/1vv,to /bring s.t. down,,,,,
aksaqquq,,1,n,,ana,,,,,,,upper arm,partie du bras au-dessus du coude,,,,.
